params,train_mean,train_std,test_mean,test_std
{'max_leaf_nodes': 100},0.2930105515538916,0.0029792214635505094,0.1893245238446774,0.0066145780048930776
{'max_leaf_nodes': 200},0.4153222365866446,0.002108028740011857,0.21927284807323194,0.010988237962803843
{'max_leaf_nodes': 300},0.5006716928835293,0.0036189919308974297,0.22580540380924258,0.01209444466468138
{'max_leaf_nodes': 400},0.5767086265472341,0.0023303994616428597,0.2361708253358925,0.009533011717926062
{'max_leaf_nodes': 500},0.6307602997669647,0.004663387672137554,0.24001328805551453,0.013148460781190379
{'max_leaf_nodes': 600},0.6784752355002521,0.0040696839088360985,0.24192898272552785,0.010009941970817946
{'max_leaf_nodes': 700},0.7256142633493143,0.004768116558189465,0.24731138343422412,0.009804083887560443
{'max_leaf_nodes': 800},0.7745774448671864,0.004616758859732532,0.25076775431861803,0.011610301063214293
{'max_leaf_nodes': 900},0.8219083652232726,0.0042820102050717965,0.24923150745607558,0.009878864850882083
{'max_leaf_nodes': 1000},0.869719500609541,0.004924416784046295,0.25498671194448547,0.014594811392259786
